Depto,C1,C2,CR,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,SM1,SM2,SM3,SM4,SM5,SM6,SM7,SM8,NF,SM9,SM10,Carrera,Campus,Sexo,Sem,Apr
Ingeniería Civil Mecánica,0,100,100,10,10,10,4,7.5,6,10,7.5,8,10,100,90,100,-,-,-,-,100,100,100,95,100,100,100,-,0,-,100,100,100,,,,,,,,,87,0,0,9,0,0,1,1
Ingeniería Civil Matemática,90,60,-,10,10,10,8,7.5,8,6.67,10,10,10,100,100,100,100,100,100,100,100,100,100,85,90,80,95,100,100,41,100,100,90,,,,,,,,,83,0,0,8,0,0,1,1
Ingeniería Civil Ambiental,73,0,100,10,10,10,6,7.5,6,10,7.5,2,-,100,100,100,100,100,100,-,100,-,100,95,100,100,100,0,0,45,0,0,0,,,,,,,,,72,0,0,2,0,1,1,1
Ingeniería Civil Informática,93,0,-,0,10,10,-,10,8,10,10,-,-,92,93,94,91,95,68,56,-,-,-,95,100,100,100,95,0,100,100,0,-,,,,,,,,,47,0,0,7,0,0,1,0
Ingeniería Civil Informática,0,0,-,0,-,-,-,-,-,-,-,-,-,100,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,0,0,0,7,0,0,1,0
Ingeniería Civil Informática,15,95,-,0,10,10,10,7.5,8,8.33,10,4,10,100,100,100,100,100,100,100,100,100,-,90,90,100,100,100,85,100,100,100,45,,,,,,,,,71,0,0,7,0,0,1,1
Ingeniería Civil,100,100,-,10,10,10,8,7.5,6,10,5,4,10,100,100,100,100,100,100,100,100,100,100,95,100,100,100,100,100,100,100,100,100,,,,,,,,,96,0,0,1,0,1,1,1
Ingeniería Civil Informática,60,100,-,10,10,10,10,5,10,10,10,0,4,100,98,100,100,0,89,96,100,88,90,100,100,100,100,0,100,100,100,100,85,,,,,,,,,82,0,0,7,0,0,1,1
Construcción Civil,30,80,-,10,10,10,4,7.5,10,10,10,6,10,100,100,-,92,100,100,100,100,100,99,100,95,100,100,100,-,20,100,80,100,,,,,,,,,70,0,0,0,0,0,1,1
Ingeniería Civil Mecánica,97,100,-,10,10,10,6,7.5,6,10,10,10,10,100,100,100,100,100,100,100,100,100,100,40,90,100,90,100,20,70,100,100,95,,,,,,,,,94,0,0,9,0,0,1,1
Ingeniería Civil,75,100,-,10,4,10,4,7.5,10,10,10,2,4,100,100,100,0,100,100,100,100,100,100,100,100,100,100,100,90,100,100,100,90,,,,,,,,,87,0,0,1,0,1,1,1
Ingeniería Civil Informática,36,75,-,0,4,0,6,7.5,8,6,10,8,10,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,95,75,-,85,,,,,,,,,66,0,0,7,0,0,1,1
Ingeniería Civil Industrial,70,65,-,0,10,-,10,7.5,10,-,10,10,10,95,-,94,-,-,-,92,100,-,-,0,100,100,100,100,0,100,100,-,-,,,,,,,,,65,0,0,6,0,0,1,1
Construcción Civil,10,0,-,10,10,0,6,5,6,10,10,10,10,100,100,-,100,100,100,100,100,100,100,90,100,75,100,100,-,45,100,-,100,,,,,,,,,5,0,0,0,0,0,1,0
Ingeniería Civil Industrial,88,70,-,10,10,10,6,5,10,10,5,2,10,-,100,100,100,100,100,94,100,100,100,100,100,100,100,100,60,100,90,100,100,,,,,,,,,84,0,0,6,0,1,1,1
