Depto,C1,C2,CR,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,SM1,SM2,SM3,SM4,SM5,SM6,SM7,SM8,NF,SM9,SM10,Carrera,Campus,Sexo,Sem,Apr
Ingeniería Civil Plan Común,0,45,-,10,6,10,2.5,7.5,4,10,10,0,10,-,-,-,-,0,0,100,100,-,100,55,0,100,100,100,100,100,0,0,80,,,,,,,,,23,0,0,11,1,0,1,0
Ingeniería Civil Informática,88,100,-,10,10,10,10,10,6,10,10,6,10,100,100,100,72,100,100,98,98.75,100,96,100,100,100,100,100,90,100,100,100,95,,,,,,,,,95,0,0,7,1,0,1,1
Ingeniería Civil Informática,46,40,52,10,10,10,8,7.5,2,5,10,4,10,100,100,100,60,100,100,100,100,100,100,95,100,100,100,100,90,0,100,95,0,,,,,,,,,49,0,0,7,1,1,1,0
Ingeniería Civil Metalúrgica,35,100,-,10,10,10,10,7.5,6,10,10,4,10,100,100,100,100,100,0,100,100,100,100,100,100,100,100,100,80,100,100,100,95,,,,,,,,,81,0,0,10,1,0,1,1
Ingeniería Civil Matemática,42,65,35,0,10,10,2,5,6,10,8,2,4,100,0,100,69,100,100,100,100,100,100,95,100,0,70,100,95,10,95,0,100,,,,,,,,,50,0,0,8,1,1,1,0
Ingeniería Civil Informática,50,95,-,10,10,10,5,7.5,8,10,10,10,10,91,81,93,96,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,,,,,,,,,85,0,0,7,1,0,1,1
Ingeniería Civil Mecánica,7,0,-,0,6,0,8,7.5,2,1.67,7.5,0,6,100,100,100,100,100,100,100,100,100,-,100,100,95,80,80,0,40,0,0,0,,,,,,,,,4,0,0,9,1,1,1,0
Ingeniería Civil,98,20,-,10,10,10,10,10,-,10,7.5,6,10,100,100,100,100,100,-,94,100,-,100,95,0,95,100,100,100,70,100,85,0,,,,,,,,,70,0,0,1,1,0,1,1
Ingeniería Civil Plan Común,70,70,-,10,6,10,5,7.5,2,5,6,0,-,-,100,-,100,100,100,-,100,-,100,85,100,75,65,95,0,-,-,75,-,,,,,,,,,58,0,0,11,1,0,1,1
Ingeniería Civil,21,25,-,10,0,10,8,7.5,2,10,5,6,6,92,91,100,100,0,100,100,100,-,100,95,50,90,90,100,0,50,70,85,0,,,,,,,,,23,0,0,1,1,0,1,0
Ingeniería Civil Informática,95,60,-,10,10,0,10,10,8,10,10,6,10,92,100,100,100,100,100,100,100,100,100,100,100,95,100,100,100,-,80,100,-,,,,,,,,,81,0,0,7,1,0,1,1
Ingeniería Civil,85,60,-,10,10,10,10,7.5,10,8.33,10,4,10,100,100,100,100,100,100,0,100,100,100,90,100,100,100,100,100,-,100,80,-,,,,,,,,,79,0,0,1,1,0,1,1
