Depto,C1,C2,CR,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,SM1,SM2,SM3,SM4,SM5,SM6,SM7,SM8,NF,SM9,SM10,Carrera,Campus,Sem,Sexo,Apr
Ingeniería Civil Industrial,100.0,100.0,0.0,100.0,0.0,100.0,100.0,100.0,60.0,80.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,97.0,100.0,100.0,100.0,100.0,100.0,90.0,95.45,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,96.0,0.0,0.0,6,2.0,2.0,0,1
Ingeniería Civil Industrial,95.0,30.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,92.0,100.0,100.0,100.0,100.0,100.0,100.0,30.0,100.0,100.0,100.0,15.0,100.0,100.0,100.0,0.0,100.0,100.0,0.0,100.0,75.0,0.0,0.0,6,2.0,2.0,0,1
Ingeniería Civil Industrial,85.0,55.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,80.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,97.0,96.0,97.0,100.0,100.0,100.0,100.0,100.0,85.0,72.73,100.0,80.0,65.0,20.0,100.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,50.0,100.0,79.0,0.0,0.0,6,2.0,2.0,0,1
Ingeniería Civil Industrial,95.0,95.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,60.0,100.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,95.45,100.0,100.0,100.0,100.0,100.0,100.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,95.0,0.0,0.0,6,2.0,2.0,0,1
Ingeniería Civil Industrial,75.0,90.0,0.0,100.0,100.0,100.0,75.0,100.0,60.0,100.0,67.0,80.0,100.0,0.0,100.0,100.0,95.0,100.0,100.0,97.0,100.0,100.0,100.0,100.0,100.0,100.0,95.45,100.0,95.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,80.0,60.0,88.0,0.0,0.0,6,2.0,2.0,1,1
Ingeniería Civil Industrial,90.0,65.0,0.0,100.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,96.0,100.0,100.0,90.0,85.0,95.45,100.0,100.0,100.0,75.0,100.0,50.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,85.0,0.0,0.0,6,2.0,2.0,0,1
Ingeniería Civil Industrial,57.5,75.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,50.0,60.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,97.0,100.0,100.0,100.0,100.0,95.0,100.0,95.45,100.0,100.0,100.0,95.0,100.0,85.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,81.0,0.0,0.0,6,2.0,2.0,1,1
Ingeniería Civil Industrial,90.0,65.0,0.0,100.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,60.0,100.0,100.0,100.0,100.0,97.0,100.0,100.0,100.0,100.0,95.0,100.0,90.0,95.0,100.0,100.0,100.0,95.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,86.0,0.0,0.0,6,2.0,2.0,1,1
Ingeniería Civil Industrial,100.0,65.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,93.0,33.0,100.0,100.0,87.0,88.0,0.0,0.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.0,0.0,0.0,6,2.0,2.0,0,1
Ingeniería Civil Industrial,48.0,90.0,0.0,0.0,0.0,100.0,100.0,0.0,40.0,0.0,83.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.0,85.0,95.45,0.0,100.0,100.0,100.0,80.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.0,0.0,0.0,6,2.0,2.0,1,1
Ingeniería Civil Industrial,74.5,75.0,0.0,100.0,0.0,100.0,100.0,75.0,40.0,100.0,50.0,60.0,100.0,86.0,87.0,79.0,82.0,91.0,72.0,74.0,100.0,76.0,55.0,90.0,100.0,90.0,95.45,100.0,80.0,100.0,100.0,100.0,45.0,0.0,100.0,100.0,100.0,100.0,46.0,100.0,0.0,77.0,0.0,0.0,6,2.0,2.0,1,1
Ingeniería Civil Industrial,90.0,25.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,83.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,97.0,100.0,95.0,100.0,100.0,100.0,100.0,81.82,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,78.0,0.0,0.0,6,2.0,2.0,0,1
Ingeniería Civil Industrial,100.0,100.0,0.0,100.0,100.0,100.0,100.0,100.0,80.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,98.0,0.0,0.0,6,2.0,2.0,0,1
Ingeniería Civil Industrial,74.5,0.0,90.0,100.0,0.0,100.0,100.0,100.0,100.0,80.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,93.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,95.45,100.0,100.0,100.0,85.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,75.0,0.0,0.0,6,2.0,2.0,0,1
Ingeniería en Aviación Comercial,90.0,100.0,0.0,100.0,100.0,100.0,50.0,50.0,60.0,40.0,0.0,20.0,100.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,100.0,100.0,100.0,100.0,100.0,0.0,100.0,0.0,0.0,0.0,0.0,95.0,100.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0,77.0,0.0,0.0,15,2.0,2.0,0,1
