Depto,C1,C2,CR,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,SM1,SM2,SM3,SM4,SM5,SM6,SM7,SM8,NF,Carrera,Campus,Sem,Sexo,Apr
Ingeniería en Aviación Comercial,62,100,0,100.0,100.0,100.0,25.0,100.0,100.0,100.0,75.0,80.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,95,100,80,100,100,100,100,100,90,100,100,100,100,100,100,100,100,100,89,15,2,1,0,1
Ingeniería en Aviación Comercial,0,0,0,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,2,1,1,0
Ingeniería en Aviación Comercial,100,25,0,100.0,100.0,100.0,0.0,75.0,40.0,100.0,75.0,0.0,100.0,85.0,88.0,92.0,90.0,90.0,93.0,96.0,100.0,100.0,88.0,100,100,100,90,100,100,55,100,0,0,100,100,100,100,100,0,0,0,68,15,2,1,0,1
Ingeniería en Aviación Comercial,40,75,0,100.0,100.0,100.0,80.0,100.0,60.0,17.0,50.0,40.0,100.0,82.0,82.0,100.0,93.0,100.0,0.0,0.0,100.0,100.0,100.0,95,100,80,95,100,60,75,70,80,80,100,100,100,0,0,0,0,0,68,15,2,1,0,1
Ingeniería en Aviación Comercial,36,45,55,100.0,60.0,100.0,40.0,75.0,100.0,50.0,100.0,0.0,40.0,66.0,84.0,0.0,100.0,100.0,100.0,97.0,100.0,100.0,100.0,95,100,100,85,100,0,0,100,50,85,100,100,100,100,100,100,0,0,50,15,2,1,0,0
Ingeniería en Aviación Comercial,0,0,0,0.0,0.0,0.0,0.0,,,,,,,27.0,0.0,0.0,0.0,0.0,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,2,1,0,0
Ingeniería en Aviación Comercial,18,85,80,60.0,100.0,100.0,100.0,75.0,80.0,67.0,100.0,20.0,100.0,85.0,100.0,100.0,100.0,100.0,100.0,60.0,100.0,65.0,100.0,100,100,100,100,100,15,90,85,80,95,100,0,25,100,60,100,100,100,85,15,2,1,0,1
Ingeniería en Aviación Comercial,10,50,70,67.0,40.0,100.0,50.0,75.0,40.0,60.0,100.0,0.0,100.0,95.0,92.0,92.0,73.0,64.0,63.0,73.0,66.0,76.0,100.0,95,100,60,45,100,35,0,100,70,100,0,0,0,100,100,0,0,100,65,15,2,1,1,1
Ingeniería Civil Industrial,6,0,0,100.0,40.0,100.0,80.0,75.0,0.0,0.0,0.0,0.0,,95.0,100.0,100.0,100.0,97.0,93.0,95.0,0.0,0.0,,0,100,80,0,100,0,0,0,0,0,100,90,0,0,0,0,0,0,3,6,2,1,1,0
Ingeniería en Aviación Comercial,51,100,0,100.0,100.0,100.0,60.0,100.0,100.0,100.0,100.0,60.0,100.0,77.0,87.0,100.0,100.0,0.0,100.0,93.0,0.0,100.0,100.0,95,100,100,100,75,0,0,85,100,0,100,100,100,100,100,100,100,100,73,15,2,1,0,1
Ingeniería en Aviación Comercial,50,75,0,100.0,100.0,100.0,60.0,100.0,80.0,100.0,100.0,100.0,100.0,100.0,95.0,100.0,100.0,94.0,0.0,100.0,100.0,0.0,100.0,75,100,80,100,100,100,100,100,90,100,100,100,100,0,80,100,100,100,77,15,2,1,0,1
Ingeniería en Aviación Comercial,0,0,0,0.0,40.0,0.0,20.0,50.0,40.0,40.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,2,1,0,0
Ingeniería Civil Industrial,33,60,100,100.0,100.0,100.0,60.0,100.0,40.0,83.0,50.0,0.0,60.0,80.0,95.0,77.0,90.0,90.0,0.0,66.0,0.0,0.0,0.0,95,0,100,100,100,65,0,90,100,50,100,80,0,0,0,0,70,100,75,6,2,1,1,1
Ingeniería en Aviación Comercial,0,0,0,100.0,100.0,0.0,40.0,50.0,60.0,17.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,2,1,0,0
Ingeniería en Aviación Comercial,60,95,0,100.0,100.0,100.0,50.0,100.0,80.0,60.0,100.0,40.0,100.0,0.0,69.0,100.0,100.0,0.0,0.0,62.0,0.0,0.0,100.0,90,100,100,100,100,100,100,100,100,95,100,100,100,100,100,100,100,0,83,15,2,1,1,1
Ingeniería en Aviación Comercial,46,35,100,100.0,60.0,0.0,100.0,50.0,40.0,60.0,100.0,20.0,100.0,95.0,100.0,100.0,100.0,100.0,100.0,66.0,100.0,100.0,66.0,90,100,100,100,100,80,65,100,65,95,100,100,100,100,100,0,100,0,77,15,2,1,0,1
Ingeniería en Aviación Comercial,55,75,0,100.0,60.0,100.0,100.0,100.0,100.0,67.0,100.0,40.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100,100,90,100,100,0,0,100,0,0,100,100,100,100,100,12,100,80,73,15,2,1,0,1
Ingeniería en Aviación Comercial,0,0,0,100.0,100.0,100.0,100.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,91.0,91.0,84.0,96.0,0.0,0.0,0.0,0.0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,2,1,0,0
Ingeniería Civil Industrial,90,0,0,100.0,60.0,100.0,40.0,75.0,40.0,0.0,100.0,20.0,40.0,95.0,98.0,100.0,100.0,100.0,100.0,0.0,100.0,0.0,0.0,90,90,100,95,100,0,0,0,0,0,100,0,0,0,0,0,0,0,45,6,2,1,0,0
Ingeniería en Aviación Comercial,0,0,0,100.0,0.0,0.0,75.0,75.0,,,,,,84.0,100.0,0.0,0.0,0.0,0.0,,,,,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,2,1,0,0
Ingeniería Civil Industrial,0,0,0,67.0,0.0,0.0,25.0,25.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2,1,1,0
Ingeniería en Aviación Comercial,55,85,0,100.0,100.0,100.0,75.0,25.0,60.0,100.0,100.0,100.0,100.0,66.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,100.0,95,100,80,100,90,100,100,100,100,100,100,100,100,0,100,100,100,100,81,15,2,1,1,1
Ingeniería en Aviación Comercial,3,0,0,60.0,0.0,0.0,25.0,75.0,0.0,40.0,25.0,0.0,100.0,63.0,85.0,92.0,20.0,97.0,0.0,90.0,0.0,0.0,81.0,65,10,30,80,100,0,0,0,0,40,0,0,0,0,0,0,0,0,2,15,2,1,0,0
Ingeniería Civil Industrial,55,20,20,100.0,0.0,100.0,60.0,25.0,80.0,67.0,25.0,20.0,100.0,100.0,100.0,100.0,100.0,0.0,100.0,100.0,0.0,0.0,0.0,100,100,100,50,90,0,0,50,80,0,100,0,0,100,0,0,0,0,38,6,2,1,1,0
Ingeniería en Aviación Comercial,35,35,0,100.0,100.0,100.0,60.0,100.0,80.0,0.0,25.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100,100,0,100,100,0,45,100,70,90,0,0,0,0,0,0,0,0,35,15,2,1,0,0
Ingeniería en Aviación Comercial,45,100,0,67.0,100.0,100.0,25.0,50.0,40.0,0.0,0.0,0.0,0.0,75.0,100.0,92.0,85.0,84.0,90.0,0.0,100.0,75.0,93.0,45,100,100,95,85,55,100,35,90,70,25,0,0,0,0,0,0,0,66,15,2,1,1,1
Ingeniería en Aviación Comercial,41,0,100,100.0,40.0,100.0,100.0,100.0,60.0,60.0,100.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,95.0,100.0,95,100,100,100,100,70,75,100,90,80,100,100,100,100,100,100,100,100,47,15,2,1,1,0
Ingeniería en Aviación Comercial,46,85,0,100.0,100.0,100.0,100.0,75.0,80.0,100.0,100.0,0.0,100.0,95.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,98.0,81.0,95,100,100,100,100,100,55,100,100,80,100,100,100,100,100,8,100,0,79,15,2,1,0,1
Ingeniería Civil Industrial,19,0,0,100.0,100.0,0.0,100.0,50.0,60.0,80.0,100.0,20.0,60.0,33.0,100.0,0.0,91.0,0.0,100.0,0.0,100.0,0.0,0.0,75,100,80,0,90,45,40,0,0,80,0,0,0,0,0,0,0,0,10,6,2,1,1,0
Ingeniería en Aviación Comercial,0,0,0,20.0,0.0,100.0,75.0,50.0,0.0,0.0,0.0,0.0,,100.0,64.0,50.0,90.0,79.0,0.0,0.0,0.0,0.0,,95,100,80,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,15,2,1,0,0
Ingeniería en Aviación Comercial,0,0,0,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,2,1,0,0
Ingeniería en Aviación Comercial,25,0,0,100.0,60.0,100.0,40.0,75.0,80.0,40.0,100.0,40.0,20.0,100.0,0.0,77.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,90,90,0,0,100,0,0,0,0,0,75,45,45,0,48,0,0,0,13,15,2,1,0,0
Ingeniería en Aviación Comercial,29,100,0,100.0,100.0,100.0,60.0,100.0,70.0,67.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,95,100,70,100,100,40,90,100,90,100,100,100,100,100,100,100,100,100,79,15,2,1,0,1
Ingeniería en Aviación Comercial,31,0,0,100.0,40.0,100.0,80.0,0.0,80.0,20.0,0.0,0.0,,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,0.0,,70,95,90,100,100,25,0,0,0,0,0,0,0,0,0,0,0,0,16,15,2,1,1,0
Ingeniería Civil Industrial,45,100,0,50.0,100.0,100.0,60.0,100.0,100.0,100.0,100.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,100.0,100.0,100.0,100,100,100,100,100,100,100,100,100,100,100,90,100,100,100,100,100,0,82,6,2,1,1,1
Ingeniería en Aviación Comercial,80,75,0,100.0,100.0,100.0,100.0,75.0,100.0,100.0,100.0,80.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100,100,100,100,95,20,30,100,90,80,100,100,100,100,100,100,100,100,86,15,2,1,0,1
Ingeniería en Aviación Comercial,40,20,10,100.0,40.0,0.0,100.0,50.0,80.0,40.0,50.0,0.0,100.0,91.0,64.0,92.0,60.0,96.0,100.0,100.0,100.0,100.0,100.0,95,100,95,0,100,100,80,80,75,60,100,100,100,100,100,100,100,100,25,15,2,1,0,0
Ingeniería en Aviación Comercial,60,70,0,100.0,100.0,100.0,80.0,100.0,80.0,100.0,80.0,20.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,9.0,100.0,100,100,100,100,100,75,90,90,90,100,100,100,100,100,100,100,100,100,78,15,2,1,0,1
Ingeniería Civil Industrial,35,100,0,100.0,100.0,0.0,100.0,100.0,100.0,100.0,0.0,60.0,100.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100,100,100,100,100,100,0,100,100,0,100,100,100,100,100,100,100,100,75,6,2,1,1,1
Ingeniería en Aviación Comercial,43,100,0,100.0,60.0,0.0,60.0,50.0,20.0,50.0,100.0,60.0,100.0,82.0,89.0,0.0,81.0,0.0,0.0,0.0,78.0,0.0,0.0,100,100,95,95,75,100,85,100,90,100,0,40,0,100,0,100,100,100,71,15,2,1,0,1
Ingeniería en Aviación Comercial,23,0,0,40.0,100.0,100.0,80.0,75.0,0.0,80.0,80.0,0.0,40.0,94.0,84.0,77.0,0.0,0.0,45.0,0.0,41.0,0.0,0.0,65,100,80,100,80,75,0,0,0,0,75,0,0,0,0,0,0,0,12,15,2,1,0,0
Ingeniería en Aviación Comercial,40,85,0,100.0,100.0,100.0,100.0,100.0,40.0,100.0,100.0,60.0,100.0,100.0,88.0,84.0,92.0,100.0,15.0,97.0,0.0,0.0,100.0,100,100,100,100,100,0,100,100,100,100,100,100,100,100,100,100,100,0,77,15,2,1,1,1
Ingeniería en Aviación Comercial,0,0,0,20.0,60.0,0.0,100.0,100.0,,,,,,95.0,100.0,100.0,100.0,100.0,15.0,0.0,0.0,0.0,0.0,95,100,85,100,100,0,0,0,0,0,100,100,100,0,0,0,0,0,0,15,2,1,0,0
Ingeniería en Aviación Comercial,70,0,0,80.0,60.0,100.0,100.0,100.0,80.0,33.0,80.0,20.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,100.0,100.0,100.0,100,95,90,100,95,100,90,100,90,90,100,100,100,100,100,100,100,0,35,15,2,1,1,0
Ingeniería en Aviación Comercial,0,0,0,0.0,0.0,0.0,0.0,0.0,,,,,,67.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,2,1,1,0
Ingeniería en Aviación Comercial,58,70,0,100.0,100.0,100.0,80.0,75.0,60.0,100.0,100.0,20.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100,100,100,100,100,100,95,95,95,60,100,100,100,100,100,100,100,100,78,15,2,1,1,1
Ingeniería en Aviación Comercial,65,0,100,100.0,100.0,100.0,75.0,75.0,80.0,83.0,100.0,20.0,100.0,95.0,79.0,100.0,100.0,98.0,100.0,100.0,100.0,100.0,100.0,100,100,100,100,100,100,85,95,95,60,100,100,100,100,100,100,100,100,74,15,2,1,1,1
Ingeniería en Aviación Comercial,50,0,0,100.0,100.0,100.0,80.0,100.0,60.0,100.0,75.0,20.0,100.0,76.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,100.0,100,100,100,100,100,100,100,100,100,65,100,100,100,100,100,100,0,100,25,15,2,1,0,0
Ingeniería en Aviación Comercial,60,60,0,33.0,100.0,100.0,80.0,100.0,60.0,100.0,100.0,100.0,100.0,86.0,100.0,100.0,66.0,100.0,100.0,100.0,100.0,100.0,100.0,100,100,100,100,70,100,100,100,70,90,100,0,25,100,100,100,45,100,74,15,2,1,0,1
Ingeniería en Aviación Comercial,60,15,0,100.0,40.0,100.0,100.0,50.0,80.0,67.0,100.0,20.0,100.0,100.0,90.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,0.0,80,100,100,100,100,100,90,95,70,0,100,100,100,100,100,100,100,100,38,15,2,1,0,0
Ingeniería en Aviación Comercial,35,100,0,100.0,100.0,100.0,100.0,100.0,20.0,17.0,100.0,20.0,100.0,86.0,98.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,95,100,95,100,100,100,100,100,100,95,100,100,100,100,100,100,100,100,80,15,2,1,0,1
