Depto,C1,C2,CR,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,SM1,SM2,SM3,SM4,SM5,SM6,SM7,SM8,NF,Carrera,Campus,Sem,Sexo,Apr
Ingeniería en Aviación Comercial,3,4,0,4.0,4.0,4.0,1.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,89,15,2,1,0,1
Ingeniería en Aviación Comercial,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,2,1,1,0
Ingeniería en Aviación Comercial,4,1,0,4.0,4.0,4.0,0.0,4.0,1.0,4.0,4.0,0.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4,4,4,4,4,4,2,4,0,0,4,4,4,4,4,0,0,0,68,15,2,1,0,1
Ingeniería en Aviación Comercial,1,4,0,4.0,4.0,4.0,4.0,4.0,3.0,1.0,2.0,1.0,4.0,4.0,4.0,4.0,4.0,4.0,0.0,0.0,4.0,4.0,4.0,4,4,4,4,4,3,4,4,4,4,4,4,4,0,0,0,0,0,68,15,2,1,0,1
Ingeniería en Aviación Comercial,1,1,2,4.0,3.0,4.0,1.0,4.0,4.0,2.0,4.0,0.0,1.0,4.0,4.0,0.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4,4,4,4,4,0,0,4,2,4,4,4,4,4,4,4,0,0,50,15,2,1,0,0
Ingeniería en Aviación Comercial,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,2,1,0,0
Ingeniería en Aviación Comercial,1,4,4,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,1.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,3.0,4.0,4,4,4,4,4,1,4,4,4,4,4,0,1,4,3,4,4,4,85,15,2,1,0,1
Ingeniería en Aviación Comercial,1,2,4,4.0,1.0,4.0,2.0,4.0,1.0,3.0,4.0,0.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,4.0,4.0,4.0,4.0,4,4,3,1,4,1,0,4,4,4,0,0,0,4,4,0,0,4,65,15,2,1,1,1
Ingeniería Civil Industrial,1,0,0,4.0,1.0,4.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,0.0,0.0,0.0,0,4,4,0,4,0,0,0,0,0,4,4,0,0,0,0,0,0,3,6,2,1,1,0
Ingeniería en Aviación Comercial,2,4,0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,0.0,4.0,4.0,0.0,4.0,4.0,4,4,4,4,4,0,0,4,4,0,4,4,4,4,4,4,4,4,73,15,2,1,0,1
Ingeniería en Aviación Comercial,2,4,0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,0.0,4.0,4.0,0.0,4.0,4,4,4,4,4,4,4,4,4,4,4,4,4,0,4,4,4,4,77,15,2,1,0,1
Ingeniería en Aviación Comercial,0,0,0,0.0,1.0,0.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,2,1,0,0
Ingeniería Civil Industrial,1,3,4,4.0,4.0,4.0,3.0,4.0,1.0,4.0,2.0,0.0,3.0,4.0,4.0,4.0,4.0,4.0,0.0,4.0,0.0,0.0,0.0,4,0,4,4,4,3,0,4,4,2,4,4,0,0,0,0,4,4,75,6,2,1,1,1
Ingeniería en Aviación Comercial,0,0,0,4.0,4.0,0.0,1.0,2.0,3.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,2,1,0,0
Ingeniería en Aviación Comercial,3,4,0,4.0,4.0,4.0,2.0,4.0,4.0,3.0,4.0,1.0,4.0,0.0,4.0,4.0,4.0,0.0,0.0,3.0,0.0,0.0,4.0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0,83,15,2,1,1,1
Ingeniería en Aviación Comercial,2,1,4,4.0,3.0,0.0,4.0,2.0,1.0,3.0,4.0,1.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4,4,4,4,4,4,3,4,3,4,4,4,4,4,4,0,4,0,77,15,2,1,0,1
Ingeniería en Aviación Comercial,2,4,0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,1.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4,4,4,4,4,0,0,4,0,0,4,4,4,4,4,1,4,4,73,15,2,1,0,1
Ingeniería en Aviación Comercial,0,0,0,4.0,4.0,4.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,4.0,4.0,4.0,0.0,0.0,0.0,0.0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,2,1,0,0
Ingeniería Civil Industrial,4,0,0,4.0,3.0,4.0,1.0,4.0,1.0,0.0,4.0,1.0,1.0,4.0,4.0,4.0,4.0,4.0,4.0,0.0,4.0,0.0,0.0,4,4,4,4,4,0,0,0,0,0,4,0,0,0,0,0,0,0,45,6,2,1,0,0
Ingeniería en Aviación Comercial,0,0,0,4.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,2,1,0,0
Ingeniería Civil Industrial,0,0,0,4.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2,1,1,0
Ingeniería en Aviación Comercial,2,4,0,4.0,4.0,4.0,4.0,1.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,0.0,4.0,4,4,4,4,4,4,4,4,4,4,4,4,4,0,4,4,4,4,81,15,2,1,1,1
Ingeniería en Aviación Comercial,1,0,0,3.0,0.0,0.0,1.0,4.0,0.0,1.0,1.0,0.0,4.0,3.0,4.0,4.0,1.0,4.0,0.0,4.0,0.0,0.0,4.0,3,1,1,4,4,0,0,0,0,1,0,0,0,0,0,0,0,0,2,15,2,1,0,0
Ingeniería Civil Industrial,2,1,1,4.0,0.0,4.0,3.0,1.0,4.0,4.0,1.0,1.0,4.0,4.0,4.0,4.0,4.0,0.0,4.0,4.0,0.0,0.0,0.0,4,4,4,2,4,0,0,2,4,0,4,0,0,4,0,0,0,0,38,6,2,1,1,0
Ingeniería en Aviación Comercial,1,1,0,4.0,4.0,4.0,3.0,4.0,4.0,0.0,1.0,0.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4,4,0,4,4,0,1,4,4,4,0,0,0,0,0,0,0,0,35,15,2,1,0,0
Ingeniería en Aviación Comercial,1,4,0,4.0,4.0,4.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,4.0,4.0,4.0,4.0,4.0,4.0,0.0,4.0,4.0,4.0,1,4,4,4,4,2,4,1,4,4,1,0,0,0,0,0,0,0,66,15,2,1,1,1
