,Depto,C1,C2,CR,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,SM1,SM2,SM3,SM4,SM5,SM6,SM7,SM8,NF,Carrera,Campus,Sem,Sexo,Apr
0,Ingeniería Civil Metalúrgica,84,50,0,100,0,100,40,100,40,100,0,100,40,82,0,79,57,0,80,0,0,88,0,100,95,100,82,100,90,35.0,92,0,0.0,100,100,100,100,0,100,100,100,66,10,1,2,0,1
1,Ingeniería Civil Metalúrgica,43,55,55,100,60,100,0,80,80,100,100,100,100,100,100,100,100,100,100,100,100,100,90,100,100,73,100,65,100,45.0,72,100,72.0,100,100,100,100,100,100,100,100,70,10,1,2,1,1
2,Ingeniería Civil Metalúrgica,73,40,0,100,100,100,100,80,100,100,100,100,100,100,93,100,100,100,100,100,0,100,100,100,100,100,100,100,100,0.0,0,0,0.0,100,100,100,100,100,100,100,100,64,10,1,2,0,1
3,Ingeniería Civil Metalúrgica,100,85,0,100,100,100,100,100,100,100,100,100,60,100,100,100,100,100,100,100,100,100,0,100,100,100,100,100,100,100.0,100,100,92.0,100,100,100,100,100,100,100,100,95,10,1,2,0,1
4,Ingeniería Civil Plan Común,90,15,20,100,100,100,80,100,80,100,75,80,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,75,60,95.0,82,100,0.0,0,0,100,0,100,100,100,100,70,11,1,2,0,1
5,Ingeniería Civil Informática,100,90,0,100,100,38,60,100,100,100,100,100,100,0,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100.0,82,92,75.0,100,100,100,100,100,100,100,100,94,7,1,2,1,1
6,Ingeniería Civil Metalúrgica,93,90,0,100,100,100,80,80,0,40,0,80,40,73,0,0,0,0,0,0,0,0,0,92,95,100,92,95,100,100.0,90,100,92.0,100,100,100,100,100,100,100,100,83,10,1,2,0,1
7,Ingeniería Civil Plan Común,67,0,30,100,60,100,100,100,80,100,100,100,100,100,100,100,100,100,100,0,100,100,100,100,100,100,100,100,100,80.0,100,100,40.0,100,100,100,100,100,100,100,100,49,11,1,2,0,0
8,Ingeniería Civil Metalúrgica,100,20,0,100,60,100,80,80,40,60,50,100,60,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100.0,100,100,100.0,100,100,100,100,100,100,0,100,74,10,1,2,0,1
9,Ingeniería Civil Informática,79,85,0,100,100,100,40,100,100,100,100,100,0,100,0,0,100,87,100,0,100,100,100,100,100,90,92,100,100,47.0,100,100,42.0,0,0,100,100,100,100,100,100,82,7,1,2,0,1
10,Ingeniería Civil Industrial,95,95,0,100,100,100,60,100,80,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,92,100,100,100.0,100,100,90.0,100,100,100,100,100,100,100,100,96,6,2,2,1,1
12,Lic. en Astrofísica,87,85,0,100,100,100,60,100,80,60,100,100,100,100,100,100,91,100,100,97,100,95,100,76,100,90,90,85,90,90.0,100,100,77.0,100,100,100,100,100,100,100,100,89,17,1,2,0,1
13,Ingeniería Civil Eléctrica,75,20,10,100,60,100,60,80,20,40,100,80,100,100,100,100,100,100,100,100,100,100,100,100,84,100,100,90,95,75.0,87,60,57.0,100,100,100,100,100,100,100,100,43,4,1,2,0,0
14,Ingeniería Comercial,50,100,0,100,60,100,0,100,60,80,100,0,100,70,0,0,0,100,98,0,100,100,100,0,100,100,0,100,50,90.0,100,0,14.0,0,0,0,0,0,0,0,0,60,14,2,2,0,1
15,Ingeniería Civil Eléctrica,76,0,0,100,100,100,0,100,80,100,0,0,0,0,100,0,0,100,100,100,0,0,0,0,100,0,64,0,90,0.0,0,0,0.0,0,0,0,0,0,100,100,0,38,4,1,2,0,0
16,Ingeniería Civil Eléctrica,100,75,0,100,100,90,100,100,80,100,0,20,100,95,79,83,77,80,84,76,98,0,79,92,100,100,100,100,60,100.0,0,100,85.0,0,100,100,100,0,0,0,0,74,4,1,2,0,1
17,Ingeniería Civil Mecánica,96,20,100,100,100,50,60,100,40,80,100,80,100,100,100,100,100,100,100,100,100,88,100,100,100,100,0,80,100,100.0,90,100,100.0,100,100,100,100,100,100,100,100,93,9,1,2,0,1
18,Lic. en Astrofísica,89,80,0,100,100,100,60,80,80,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,80,100,75,100,75.0,90,0,0.0,100,100,100,100,100,100,100,100,85,17,1,2,0,1
