,Depto,C1,C2,CR,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,SM1,SM2,SM3,SM4,SM5,SM6,SM7,SM8,NF,Carrera,Campus,Sem,Sexo,Apr
0,Ingeniería Civil Metalúrgica,4,2,0,4,0,4,1,4,1,4,0,4,1,4,0,4,3,0,4,0,0,4,0,4,4,4,4,4,4,1.0,4,0,0.0,4,4,4,4,0,4,4,4,66,10,1,2,0,1
1,Ingeniería Civil Metalúrgica,1,2,2,4,3,4,0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,1.0,4,4,4.0,4,4,4,4,4,4,4,4,70,10,1,2,1,1
2,Ingeniería Civil Metalúrgica,4,1,0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0,4,4,4,4,4,4,4,4,0.0,0,0,0.0,4,4,4,4,4,4,4,4,64,10,1,2,0,1
3,Ingeniería Civil Metalúrgica,4,4,0,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,0,4,4,4,4,4,4,4.0,4,4,4.0,4,4,4,4,4,4,4,4,95,10,1,2,0,1
4,Ingeniería Civil Plan Común,4,1,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4.0,4,4,0.0,0,0,4,0,4,4,4,4,70,11,1,2,0,1
5,Ingeniería Civil Informática,4,4,0,4,4,1,3,4,4,4,4,4,4,0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4.0,4,4,4.0,4,4,4,4,4,4,4,4,94,7,1,2,1,1
6,Ingeniería Civil Metalúrgica,4,4,0,4,4,4,4,4,0,1,0,4,1,4,0,0,0,0,0,0,0,0,0,4,4,4,4,4,4,4.0,4,4,4.0,4,4,4,4,4,4,4,4,83,10,1,2,0,1
7,Ingeniería Civil Plan Común,4,0,1,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0,4,4,4,4,4,4,4,4,4,4.0,4,4,1.0,4,4,4,4,4,4,4,4,49,11,1,2,0,0
8,Ingeniería Civil Metalúrgica,4,1,0,4,3,4,4,4,1,3,2,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4.0,4,4,4.0,4,4,4,4,4,4,0,4,74,10,1,2,0,1
9,Ingeniería Civil Informática,4,4,0,4,4,4,1,4,4,4,4,4,0,4,0,0,4,4,4,0,4,4,4,4,4,4,4,4,4,2.0,4,4,1.0,0,0,4,4,4,4,4,4,82,7,1,2,0,1
10,Ingeniería Civil Industrial,4,4,0,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4.0,4,4,4.0,4,4,4,4,4,4,4,4,96,6,2,2,1,1
12,Lic. en Astrofísica,4,4,0,4,4,4,3,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4.0,4,4,4.0,4,4,4,4,4,4,4,4,89,17,1,2,0,1
13,Ingeniería Civil Eléctrica,4,1,1,4,3,4,3,4,1,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4.0,4,3,3.0,4,4,4,4,4,4,4,4,43,4,1,2,0,0
14,Ingeniería Comercial,2,4,0,4,3,4,0,4,3,4,4,0,4,4,0,0,0,4,4,0,4,4,4,0,4,4,0,4,2,4.0,4,0,1.0,0,0,0,0,0,0,0,0,60,14,2,2,0,1
