support,itemsets
0.6953821226032946,frozenset({'C1_Apr'})
0.6948420199837969,frozenset({'C2_Apr'})
0.7998919794761005,frozenset({'CR_0'})
0.871995679179044,frozenset({'F1_Apr'})
0.8925195787199568,frozenset({'F2_Apr'})
0.8860383472859843,frozenset({'F3_Apr'})
0.8139346475830408,frozenset({'F4_Apr'})
0.8498514717796382,frozenset({'F5_Apr'})
0.8271671617607346,frozenset({'F6_Apr'})
0.8196057250877666,frozenset({'F7_Apr'})
0.8001620307858494,frozenset({'F8_Apr'})
0.8028625438833379,frozenset({'F9_Apr'})
0.8112341344855523,frozenset({'F10_Apr'})
0.6024844720496895,frozenset({'SM1_Apr'})
0.6402916554145288,frozenset({'SM2_Apr'})
0.6227383202808534,frozenset({'SM3_Apr'})
0.6165271401566298,frozenset({'SM4_Apr'})
0.5903321631109911,frozenset({'SM5_Apr'})
0.5322711315149878,frozenset({'SM6_Apr'})
0.5390224142587091,frozenset({'SM7_Apr'})
0.5187685660275453,frozenset({'SM8_Apr'})
0.5106670267350797,frozenset({'Sem_1.0'})
0.8301377261679719,frozenset({'Apr_1'})
0.7429111531190926,frozenset({'Sexo_0'})
0.5241695922225222,"frozenset({'C1_Apr', 'C2_Apr'})"
0.6149068322981367,"frozenset({'C1_Apr', 'CR_0'})"
0.6089657034836619,"frozenset({'F1_Apr', 'C1_Apr'})"
0.6389413988657845,"frozenset({'C1_Apr', 'F2_Apr'})"
0.6313799621928167,"frozenset({'C1_Apr', 'F3_Apr'})"
0.5849311369160141,"frozenset({'C1_Apr', 'F4_Apr'})"
0.6068052930056711,"frozenset({'F5_Apr', 'C1_Apr'})"
0.5919524709694842,"frozenset({'F6_Apr', 'C1_Apr'})"
0.5914123683499865,"frozenset({'C1_Apr', 'F7_Apr'})"
0.5741290845260599,"frozenset({'C1_Apr', 'F8_Apr'})"
0.5830407777477721,"frozenset({'C1_Apr', 'F9_Apr'})"
0.5811504185795301,"frozenset({'C1_Apr', 'F10_Apr'})"
0.6489332973264921,"frozenset({'C1_Apr', 'Apr_1'})"
0.5233594382932757,"frozenset({'C1_Apr', 'Sexo_0'})"
0.6405617067242776,"frozenset({'C2_Apr', 'CR_0'})"
0.6219281663516069,"frozenset({'F1_Apr', 'C2_Apr'})"
0.6373210910072914,"frozenset({'F2_Apr', 'C2_Apr'})"
0.6335403726708074,"frozenset({'C2_Apr', 'F3_Apr'})"
0.5916824196597353,"frozenset({'F4_Apr', 'C2_Apr'})"
0.6151768836078855,"frozenset({'F5_Apr', 'C2_Apr'})"
0.6049149338374291,"frozenset({'F6_Apr', 'C2_Apr'})"
0.5989738050229544,"frozenset({'C2_Apr', 'F7_Apr'})"
0.5911423170402377,"frozenset({'C2_Apr', 'F8_Apr'})"
0.5849311369160141,"frozenset({'C2_Apr', 'F9_Apr'})"
0.6057250877666757,"frozenset({'C2_Apr', 'F10_Apr'})"
0.674588171752633,"frozenset({'C2_Apr', 'Apr_1'})"
0.5220091817445315,"frozenset({'C2_Apr', 'Sexo_0'})"
0.6997029435592763,"frozenset({'F1_Apr', 'CR_0'})"
0.718336483931947,"frozenset({'F2_Apr', 'CR_0'})"
0.7159060221442074,"frozenset({'F3_Apr', 'CR_0'})"
0.660005401026195,"frozenset({'F4_Apr', 'CR_0'})"
0.6862003780718336,"frozenset({'F5_Apr', 'CR_0'})"
0.6721577099648933,"frozenset({'F6_Apr', 'CR_0'})"
0.6610856062651904,"frozenset({'CR_0', 'F7_Apr'})"
0.6483931947069943,"frozenset({'CR_0', 'F8_Apr'})"
0.6470429381582501,"frozenset({'CR_0', 'F9_Apr'})"
0.656224682689711,"frozenset({'CR_0', 'F10_Apr'})"
0.5206589251957872,"frozenset({'SM2_Apr', 'CR_0'})"
0.5101269241155819,"frozenset({'CR_0', 'SM3_Apr'})"
0.5066162570888468,"frozenset({'CR_0', 'SM4_Apr'})"
0.6924115581960573,"frozenset({'Apr_1', 'CR_0'})"
0.6024844720496895,"frozenset({'CR_0', 'Sexo_0'})"
0.8131244936537942,"frozenset({'F1_Apr', 'F2_Apr'})"
0.8004320820955981,"frozenset({'F1_Apr', 'F3_Apr'})"
0.7394004860923575,"frozenset({'F1_Apr', 'F4_Apr'})"
0.7761274642182014,"frozenset({'F1_Apr', 'F5_Apr'})"
0.7518228463408048,"frozenset({'F6_Apr', 'F1_Apr'})"
0.7461517688360788,"frozenset({'F1_Apr', 'F7_Apr'})"
0.7350796651363759,"frozenset({'F1_Apr', 'F8_Apr'})"
0.7334593572778828,"frozenset({'F1_Apr', 'F9_Apr'})"
0.7418309478800972,"frozenset({'F1_Apr', 'F10_Apr'})"
0.5441533891439373,"frozenset({'F1_Apr', 'SM1_Apr'})"
0.5768295976235485,"frozenset({'F1_Apr', 'SM2_Apr'})"
0.5652173913043478,"frozenset({'F1_Apr', 'SM3_Apr'})"
0.5565757493923845,"frozenset({'F1_Apr', 'SM4_Apr'})"
0.5384823116392115,"frozenset({'F1_Apr', 'SM5_Apr'})"
0.7407507426411019,"frozenset({'F1_Apr', 'Apr_1'})"
0.6419119632730219,"frozenset({'F1_Apr', 'Sexo_0'})"
0.819065622468269,"frozenset({'F2_Apr', 'F3_Apr'})"
0.76235484742101,"frozenset({'F4_Apr', 'F2_Apr'})"
0.7912503375641372,"frozenset({'F5_Apr', 'F2_Apr'})"
0.7691061301647313,"frozenset({'F6_Apr', 'F2_Apr'})"
0.7645152578990008,"frozenset({'F2_Apr', 'F7_Apr'})"
0.742371050499595,"frozenset({'F2_Apr', 'F8_Apr'})"
0.7480421280043208,"frozenset({'F2_Apr', 'F9_Apr'})"
0.7580340264650284,"frozenset({'F2_Apr', 'F10_Apr'})"
0.5638671347556036,"frozenset({'F2_Apr', 'SM1_Apr'})"
0.5989738050229544,"frozenset({'SM2_Apr', 'F2_Apr'})"
0.585201188225763,"frozenset({'F2_Apr', 'SM3_Apr'})"
0.579530110721037,"frozenset({'F2_Apr', 'SM4_Apr'})"
0.5565757493923845,"frozenset({'SM5_Apr', 'F2_Apr'})"
0.5012152308938699,"frozenset({'SM6_Apr', 'F2_Apr'})"
0.5085066162570888,"frozenset({'SM7_Apr', 'F2_Apr'})"
0.7634350526600054,"frozenset({'F2_Apr', 'Apr_1'})"
0.6505536051849852,"frozenset({'F2_Apr', 'Sexo_0'})"
0.760464488252768,"frozenset({'F4_Apr', 'F3_Apr'})"
0.7912503375641372,"frozenset({'F5_Apr', 'F3_Apr'})"
0.7682959762354847,"frozenset({'F6_Apr', 'F3_Apr'})"
0.7626248987307589,"frozenset({'F3_Apr', 'F7_Apr'})"
0.743991358358088,"frozenset({'F3_Apr', 'F8_Apr'})"
0.7475020253848231,"frozenset({'F3_Apr', 'F9_Apr'})"
0.7553335133675398,"frozenset({'F3_Apr', 'F10_Apr'})"
0.5622468268971105,"frozenset({'SM1_Apr', 'F3_Apr'})"
0.6000540102619498,"frozenset({'SM2_Apr', 'F3_Apr'})"
0.5827707264380232,"frozenset({'F3_Apr', 'SM3_Apr'})"
0.5716986227383203,"frozenset({'F3_Apr', 'SM4_Apr'})"
0.5527950310559007,"frozenset({'SM5_Apr', 'F3_Apr'})"
0.5044558466108561,"frozenset({'SM6_Apr', 'F3_Apr'})"
0.5079665136375912,"frozenset({'SM7_Apr', 'F3_Apr'})"
0.7561436672967864,"frozenset({'Apr_1', 'F3_Apr'})"
0.6524439643532272,"frozenset({'F3_Apr', 'Sexo_0'})"
0.7394004860923575,"frozenset({'F5_Apr', 'F4_Apr'})"
0.7242776127464218,"frozenset({'F6_Apr', 'F4_Apr'})"
0.7196867404806914,"frozenset({'F4_Apr', 'F7_Apr'})"
0.7051039697542533,"frozenset({'F4_Apr', 'F8_Apr'})"
0.7061841749932487,"frozenset({'F4_Apr', 'F9_Apr'})"
0.7140156629759654,"frozenset({'F4_Apr', 'F10_Apr'})"
0.5206589251957872,"frozenset({'F4_Apr', 'SM1_Apr'})"
0.5506346205779098,"frozenset({'SM2_Apr', 'F4_Apr'})"
0.5376721577099649,"frozenset({'F4_Apr', 'SM3_Apr'})"
0.5347015933027275,"frozenset({'F4_Apr', 'SM4_Apr'})"
0.5139076424520659,"frozenset({'F4_Apr', 'SM5_Apr'})"
0.7048339184445045,"frozenset({'F4_Apr', 'Apr_1'})"
0.5930326762084797,"frozenset({'F4_Apr', 'Sexo_0'})"
0.7569538212260329,"frozenset({'F6_Apr', 'F5_Apr'})"
0.7518228463408048,"frozenset({'F5_Apr', 'F7_Apr'})"
0.7345395625168782,"frozenset({'F5_Apr', 'F8_Apr'})"
0.7358898190656225,"frozenset({'F5_Apr', 'F9_Apr'})"
0.738590332163111,"frozenset({'F5_Apr', 'F10_Apr'})"
0.5387523629489603,"frozenset({'F5_Apr', 'SM1_Apr'})"
0.572238725357818,"frozenset({'SM2_Apr', 'F5_Apr'})"
0.561166621658115,"frozenset({'F5_Apr', 'SM3_Apr'})"
0.5522549284364029,"frozenset({'F5_Apr', 'SM4_Apr'})"
0.5360518498514718,"frozenset({'F5_Apr', 'SM5_Apr'})"
0.7312989467998919,"frozenset({'F5_Apr', 'Apr_1'})"
0.6208479611126114,"frozenset({'F5_Apr', 'Sexo_0'})"
0.7296786389413988,"frozenset({'F6_Apr', 'F7_Apr'})"
0.7159060221442074,"frozenset({'F6_Apr', 'F8_Apr'})"
0.7194166891709425,"frozenset({'F6_Apr', 'F9_Apr'})"
0.7234674588171752,"frozenset({'F6_Apr', 'F10_Apr'})"
0.5249797461517688,"frozenset({'F6_Apr', 'SM1_Apr'})"
0.5541452876046449,"frozenset({'F6_Apr', 'SM2_Apr'})"
0.546583850931677,"frozenset({'F6_Apr', 'SM3_Apr'})"
0.543073183904942,"frozenset({'F6_Apr', 'SM4_Apr'})"
0.522819335673778,"frozenset({'F6_Apr', 'SM5_Apr'})"
0.7118552524979747,"frozenset({'F6_Apr', 'Apr_1'})"
0.6078854982446665,"frozenset({'F6_Apr', 'Sexo_0'})"
0.7121253038077234,"frozenset({'F7_Apr', 'F8_Apr'})"
0.7194166891709425,"frozenset({'F7_Apr', 'F9_Apr'})"
0.7191466378611936,"frozenset({'F7_Apr', 'F10_Apr'})"
0.5255198487712666,"frozenset({'SM1_Apr', 'F7_Apr'})"
0.5590062111801242,"frozenset({'SM2_Apr', 'F7_Apr'})"
0.5468539022414258,"frozenset({'F7_Apr', 'SM3_Apr'})"
0.544963543073184,"frozenset({'SM4_Apr', 'F7_Apr'})"
0.5284904131785039,"frozenset({'SM5_Apr', 'F7_Apr'})"
0.7099648933297327,"frozenset({'Apr_1', 'F7_Apr'})"
0.592222522279233,"frozenset({'F7_Apr', 'Sexo_0'})"
0.7091547394004861,"frozenset({'F8_Apr', 'F9_Apr'})"
0.7215770996489334,"frozenset({'F10_Apr', 'F8_Apr'})"
0.5112071293545773,"frozenset({'SM1_Apr', 'F8_Apr'})"
0.539292465568458,"frozenset({'SM2_Apr', 'F8_Apr'})"
0.5306508236564947,"frozenset({'F8_Apr', 'SM3_Apr'})"
0.5268701053200108,"frozenset({'SM4_Apr', 'F8_Apr'})"
0.5090467188765866,"frozenset({'SM5_Apr', 'F8_Apr'})"
0.7013232514177694,"frozenset({'Apr_1', 'F8_Apr'})"
0.5843910342965163,"frozenset({'F8_Apr', 'Sexo_0'})"
0.7267080745341615,"frozenset({'F10_Apr', 'F9_Apr'})"
0.5163381042398055,"frozenset({'SM1_Apr', 'F9_Apr'})"
0.5498244666486632,"frozenset({'SM2_Apr', 'F9_Apr'})"
0.5425330812854442,"frozenset({'SM3_Apr', 'F9_Apr'})"
0.5417229273561976,"frozenset({'SM4_Apr', 'F9_Apr'})"
0.5211990278152849,"frozenset({'SM5_Apr', 'F9_Apr'})"
0.7018633540372671,"frozenset({'Apr_1', 'F9_Apr'})"
0.5806103159600324,"frozenset({'Sexo_0', 'F9_Apr'})"
0.5220091817445315,"frozenset({'SM1_Apr', 'F10_Apr'})"
0.5517148258169052,"frozenset({'SM2_Apr', 'F10_Apr'})"
0.5455036456926816,"frozenset({'F10_Apr', 'SM3_Apr'})"
0.5395625168782069,"frozenset({'SM4_Apr', 'F10_Apr'})"
0.5271401566297597,"frozenset({'SM5_Apr', 'F10_Apr'})"
0.714825816905212,"frozenset({'Apr_1', 'F10_Apr'})"
0.5916824196597353,"frozenset({'F10_Apr', 'Sexo_0'})"
0.5684580070213341,"frozenset({'SM2_Apr', 'SM1_Apr'})"
0.5487442614096678,"frozenset({'SM1_Apr', 'SM3_Apr'})"
0.5395625168782069,"frozenset({'SM1_Apr', 'SM4_Apr'})"
0.519308668647043,"frozenset({'SM5_Apr', 'SM1_Apr'})"
0.5222792330542804,"frozenset({'Apr_1', 'SM1_Apr'})"
0.586821496084256,"frozenset({'SM2_Apr', 'SM3_Apr'})"
0.5789900081015393,"frozenset({'SM2_Apr', 'SM4_Apr'})"
0.5541452876046449,"frozenset({'SM2_Apr', 'SM5_Apr'})"
0.5063462057790981,"frozenset({'SM2_Apr', 'SM6_Apr'})"
0.5120172832838239,"frozenset({'SM2_Apr', 'SM7_Apr'})"
0.5608965703483662,"frozenset({'SM2_Apr', 'Apr_1'})"
0.5703483661895761,"frozenset({'SM4_Apr', 'SM3_Apr'})"
0.5509046718876587,"frozenset({'SM5_Apr', 'SM3_Apr'})"
0.5014852822036187,"frozenset({'SM6_Apr', 'SM3_Apr'})"
0.5060761544693492,"frozenset({'SM7_Apr', 'SM3_Apr'})"
0.546583850931677,"frozenset({'Apr_1', 'SM3_Apr'})"
0.5492843640291656,"frozenset({'SM5_Apr', 'SM4_Apr'})"
0.5041857953011072,"frozenset({'SM7_Apr', 'SM4_Apr'})"
0.5506346205779098,"frozenset({'Apr_1', 'SM4_Apr'})"
0.5309208749662436,"frozenset({'SM5_Apr', 'Apr_1'})"
0.6194977045638671,"frozenset({'Apr_1', 'Sexo_0'})"
0.5203888738860384,"frozenset({'C1_Apr', 'C2_Apr', 'CR_0'})"
0.5233594382932757,"frozenset({'C2_Apr', 'C1_Apr', 'Apr_1'})"
0.5414528760464489,"frozenset({'F1_Apr', 'C1_Apr', 'CR_0'})"
0.5660275452335943,"frozenset({'C1_Apr', 'CR_0', 'F2_Apr'})"
0.5619767755873616,"frozenset({'C1_Apr', 'F3_Apr', 'CR_0'})"
0.5195787199567918,"frozenset({'C1_Apr', 'CR_0', 'F4_Apr'})"
0.5395625168782069,"frozenset({'F5_Apr', 'C1_Apr', 'CR_0'})"
0.5301107210369971,"frozenset({'F6_Apr', 'C1_Apr', 'CR_0'})"
0.526600054010262,"frozenset({'C1_Apr', 'CR_0', 'F7_Apr'})"
0.5125573859033217,"frozenset({'C1_Apr', 'CR_0', 'F8_Apr'})"
0.5195787199567918,"frozenset({'C1_Apr', 'CR_0', 'F9_Apr'})"
0.5198487712665406,"frozenset({'C1_Apr', 'CR_0', 'F10_Apr'})"
0.5838509316770186,"frozenset({'C1_Apr', 'Apr_1', 'CR_0'})"
